over_p [bar]	q [Nl/min]
7,954	0,12539219
7,954	0,326219734
7,953	-0,42001717
7,952	-0,33767775
7,951	-0,14150471
7,952	-0,152391972
7,953	-0,437142198
7,953	0,093505481
7,952	0,046389795
7,952	0,000880588
7,952	0,145597732
7,952	-0,040338871
7,952	-0,398028171
7,953	-0,338680928
7,874	51,77046058
7,862	60,7355405
7,853	63,84134746
7,847	65,72780536
7,837	67,42948823
7,831	67,95898219
7,825	69,26955351
7,817	68,7406174
7,804	69,66989106
7,796	68,84027259
7,784	69,29084141
7,774	69,19282074
7,763	69,47273778
7,755	68,83475976
7,744	68,96828731
7,736	69,57621567
7,729	69,35854002
7,718	69,43170624
7,706	68,64802508
7,696	69,21063538
7,685	68,94814786
7,676	69,3051048
7,663	68,61031015
7,655	68,21760365
7,644	68,54318233
7,638	68,56562397
7,625	68,12998157
7,618	68,33959261
7,605	68,40819991
7,597	68,0158376
7,587	67,79980584
7,578	68,22100049
7,567	67,61877988
7,56	68,29969527
7,548	67,43585799
7,541	67,40150411
7,529	67,38097997
7,521	67,53451071
7,51	67,9336813
7,502	67,45305254
7,491	67,32738782
7,481	66,95043459
7,469	67,52248277
7,463	67,65193574
7,456	67,2748789
7,447	67,04474263
7,439	67,23127779
7,428	66,46450358
7,42	66,46803853
7,409	66,39132839
7,4	66,3074435
7,396	67,01145746
7,387	66,36893998
7,375	66,63142907
7,365	66,65450727
7,358	65,93516758
7,349	65,89822993
7,341	66,24164994
7,33	66,3582918
7,324	65,63582999
7,318	65,49057568
7,31	65,79824453
7,303	65,62003535
7,292	66,12078222
7,284	66,09539356
7,278	65,66492182
7,268	65,12910825
7,261	65,18572416
7,25	65,5081676
7,244	65,08371357
7,238	65,82266294
7,23	64,98861802
7,222	65,39709729
7,211	65,00532396
7,205	65,32991227
7,199	64,76133681
7,189	64,54740734
7,178	64,60435378
7,169	64,83477871
7,164	64,46471876
7,155	64,85661244
7,149	64,50117803
7,143	64,4331821
7,134	64,5700515
7,127	65,02143513
7,116	64,68225463
7,11	64,17178359
7,105	64,66154604
7,094	64,10643202
7,088	64,13727447
7,078	64,05543404
7,071	64,27086556
7,064	64,44570992
7,055	63,69288963
7,048	63,96874811
7,038	63,90433758
7,029	63,54350273
7,019	63,99057896
7,011	63,71502098
7,005	63,81487442
6,995	63,88891986
6,988	63,61606415
6,983	63,32148999
6,975	63,68616684
6,97	63,72816282
6,96	63,1585044
6,951	62,96316693
6,946	63,6630465
6,937	63,3384946
6,932	63,42107234
6,92	62,73384277
6,914	62,75031307
6,909	62,73482072
6,898	62,83615435
6,892	62,39871646
6,887	62,21619311
6,876	62,79463033
6,869	62,35118868
6,858	62,12309552
6,852	62,81620975
6,841	62,15537708
6,835	62,13179785
6,825	62,03889087
6,817	62,35938147
6,812	61,95459935
6,801	62,20516883
6,795	61,77009073
6,785	62,07300048
6,776	62,06250334
6,771	61,75321306
6,762	61,97812109
6,756	61,32402786
6,745	61,49672465
6,737	61,3865057
6,733	61,55254234
6,723	61,42175021
6,715	61,63717456
6,711	61,80552011
6,7	61,56942146
6,695	61,5382001
6,686	60,98008129
6,68	60,90498691
6,673	60,78786558
6,663	60,83759009
6,656	60,78579454
6,646	61,13061037
6,64	60,76588409
6,63	61,07590253
6,621	60,83327621
6,617	61,07581084
6,612	60,26355907
6,603	60,47634447
6,598	60,50881837
6,593	60,78134948
6,583	60,95935559
6,577	60,07089542
6,567	60,56075246
6,559	60,34102121
6,554	59,79507553
6,546	59,82157668
6,538	60,48869307
6,534	59,68273607
6,525	59,66379832
6,519	60,28601301
6,51	59,53527218
6,502	59,86272706
6,498	59,77669865
6,489	59,61508699
6,483	59,36589128
6,473	59,78901627
6,465	59,70075644
6,46	59,62405819
6,455	59,24318765
6,446	59,76776112
6,441	59,30247714
6,431	58,9927619
6,423	59,69550301
6,418	59,17004024
6,41	58,76795447
6,402	58,93736516
6,399	58,92442185
6,39	58,76207021
6,383	58,79918369
6,379	58,79125174
6,37	59,10017214
6,363	58,89681891
6,359	58,24066595
6,351	58,88393711
6,346	58,3559246
6,34	58,54438812
6,331	58,81163652
6,325	58,61569721
6,315	58,63855024
6,308	58,36870119
6,304	58,41483921
6,299	58,4147901
6,29	58,13741183
6,286	58,55154927
6,276	58,30631114
6,267	58,42879305
6,263	57,53814596
6,259	57,77036444
6,251	58,30937472
6,246	57,48012877
6,241	57,67709328
6,233	57,57517309
6,228	57,52155395
6,218	57,13771035
6,209	57,72442836
6,204	57,80544526
6,196	57,62348263
6,188	57,01942534
6,184	56,87957275
6,18	57,35283501
6,172	57,10727525
6,165	56,99295259
6,156	56,63024629
6,15	57,28621803
6,14	57,1707815
6,132	57,35981637
6,128	57,43559963
6,118	57,29226089
6,113	56,65371809
6,102	56,26221346
6,094	57,03047483
6,089	56,85856243
6,08	57,11684445
6,073	56,71918769
6,068	55,99197051
6,059	56,61566562
6,052	56,68421409
6,049	56,04762751
6,04	56,47407375
6,032	56,14538662
6,028	56,30191091
6,025	56,17130019
6,016	55,63259837
6,01	56,2366481
6,005	56,09203881
5,997	55,74047359
5,992	55,75449676
5,983	56,08514233
5,975	55,78668822
5,969	55,9784464
5,961	55,08996322
5,955	55,40500009
5,949	55,83444519
5,941	55,65708582
5,936	55,40934274
5,931	55,55011694
5,922	55,61596751
5,915	55,20623642
5,911	55,3798596
5,903	55,27686403
5,896	55,55916505
5,892	54,7225508
5,888	54,80929245
5,879	54,86091017
5,875	54,78370604
5,87	55,16411859
5,862	54,21617325
5,855	54,5763846
5,852	55,07280319
5,842	54,30965283
5,837	54,70072304
5,833	54,68080425
5,829	54,47745454
5,821	54,92197953
5,816	53,99850486
5,806	54,1368359
5,798	54,31518298
5,788	53,78627045
5,78	53,65568054
5,775	54,30553494
5,771	54,35102694
5,761	53,75430475
5,758	53,83651962
5,753	53,80013034
5,745	53,60642647
5,738	53,58133542
5,729	53,67482749
5,72	53,38142232
5,717	53,83864657
5,713	53,89422408
5,706	53,18087878
5,701	53,27036355
5,695	53,83646672
5,687	53,46880652
5,682	53,39203055
5,678	53,60085202
5,674	53,4666776
5,665	53,15102725
5,658	52,91866415
5,655	53,07744246
5,646	52,51811642
5,641	52,86929181
5,631	53,28465013
5,625	53,20043299
5,619	53,00608823
5,61	53,11809888
5,604	52,86495307
5,598	52,5426408
5,588	52,53879442
5,582	52,41474773
5,578	52,21880546
5,569	52,67531098
5,563	51,99475588
5,56	52,29714537
5,552	52,05439287
5,544	51,98618791
5,54	52,20176804
5,536	52,11056571
5,529	51,92423747
5,525	51,83443887
5,52	52,30821438
5,512	51,72738006
5,504	51,75321596
5,501	51,79251823
5,493	51,32701046
5,486	51,8108282
5,482	51,77565236
5,479	51,95033395
5,471	51,34626203
5,464	51,47902911
5,461	51,66996473
5,457	51,72891501
5,448	51,19372905
5,444	51,1953869
5,436	51,1743172
5,428	50,67216264
5,425	50,85128957
5,416	51,61328175
5,41	51,10654482
5,404	50,78363064
5,401	50,51083459
5,398	50,95750801
5,391	50,58872919
5,387	50,43362484
5,383	51,03702142
5,374	50,51677217
5,368	50,9456772
5,363	50,63253691
5,354	50,61700992
5,348	50,42125394
5,345	50,28629133
5,341	50,10276681
5,332	49,98604036
5,326	50,66359591
5,316	50,30678133
5,311	50,33155424
5,306	49,64322677
5,298	49,75503544
5,29	50,13734922
5,286	50,22687774
5,282	50,18964434
5,275	49,38060132
5,27	49,47879493
5,267	50,07024317
5,259	49,4137179
5,253	49,18871413
5,249	49,62050905
5,24	49,67088564
5,232	49,72502989
5,229	49,68105764
5,225	49,80468439
5,218	49,21398901
5,212	48,78227161
5,208	49,61414943
5,204	49,18689036
5,195	49,06033519
5,189	48,6340314
